"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"32","Alternative","Pearl Jam","Dissident (Remastered)","1NnUbdEvJigY0ARnoOgDrv",52,0.00304,0.267,214987,0.864,0,"C",0.116,-5.127,"Major",0.0481,146.691,"4/4",0.531
"33","Alternative","Thrice","Deadbolt","53wyUzJyVHXAQEgjAs8aFi",44,0.00108,0.36,180027,0.914,0,"F#",0.139,-5.698,"Major",0.0674,134.841,"4/4",0.148
"34","Alternative","Three Days Grace","Unbreakable Heart","5lmMoocYsTT0yRgfMSDizZ",49,0.0358,0.506,206213,0.838,0,"E",0.256,-5.685,"Minor",0.0417,140.077,"4/4",0.248
"35","Alternative","Coheed and Cambria","Old Flames","0FGlRz0U160ypVQs5Ltfth",46,0.127,0.442,350520,0.897,0,"D",0.0993,-6.161,"Major",0.11,148.844,"4/4",0.174
"36","Alternative","The Cult","Fire Woman","0GyJA0Yn0CcqvHKzeKaVhw",55,0.000272,0.495,311027,0.798,0.000922,"G",0.234,-9.173,"Major",0.0387,132.007,"4/4",0.461
"37","Alternative","Big K.R.I.T.","Big K.R.I.T.","49KseQDZRmTUxF7T0TegwU",42,0.727,0.389,172194,0.805,0.00034,"C#",0.0987,-6.716,"Major",0.332,139.073,"4/4",0.376
"38","Alternative","Two Another","Keeping Me Under","1PQNcWNJt5P9gSLRLA5gmT",59,0.135,0.795,218926,0.549,0.000109,"D",0.115,-7.791,"Major",0.088,108.012,"4/4",0.582
"39","Alternative","I AM THEY","Tremble","5yNffCuv0YGOgRazVMfEP6",46,0.0191,0.442,238547,0.532,0,"C",0.104,-6.085,"Minor",0.0352,147.735,"4/4",0.243
"40","Alternative","Third Day","Revelation","03v6RgqWOMWFaaW83ep2hF",40,0.1,0.358,213440,0.858,0,"D",0.134,-4.901,"Major",0.0456,158.115,"4/4",0.338
"41","Alternative","The White Stripes","The Hardest Button To Button","5vVwPth7ccUHil5wsUG7ky",53,0.0097,0.692,212427,0.515,0.292,"E",0.103,-8.488,"Minor",0.0678,128.469,"4/4",0.549
"42","Alternative","Aaron Shust","My Savior My God","1syFMBjjRvL3uReOM8yWEb",51,0.0229,0.563,291987,0.467,0,"D",0.0945,-6.087,"Major",0.0241,77.982,"4/4",0.241
"43","Alternative","Royce Da 5'9""","Boblo Boat (feat. J. Cole)","6Gbj7s07M5pF76wfHPOxQZ",53,0.269,0.618,282010,0.836,0,"C",0.129,-5.073,"Major",0.398,157.507,"4/4",0.563
"44","Alternative","Matthew Mole","Take Yours, I'll Take Mine","4c2Zdtqy5x9BkhTSJRTDmk",49,0.564,0.682,223680,0.597,0,"D#",0.331,-8.866,"Major",0.0405,138.09,"4/4",0.465
"45","Alternative","Florence + The Machine","Hiding","6VVxlhDiGQeah3nPKStf2B",44,0.000342,0.591,232752,0.889,3.62e-05,"A#",0.117,-4.818,"Minor",0.0412,144.983,"4/4",0.807
"46","Alternative","Chromeo","Don't Sleep (feat. French Montana & Stefflon Don)","6XSxQJgbqqNmOjiiHCVqM6",48,0.323,0.9,198893,0.726,0,"C#",0.0842,-5.041,"Major",0.0549,110.009,"4/4",0.878
"47","Alternative","Young the Giant","You + I","3rSkiyzwE3oQXhvMqobU0e",45,0.0995,0.624,254333,0.462,0.000104,"G",0.399,-9.402,"Major",0.0343,158.081,"4/4",0.433
"48","Alternative","Sabrina Claudio","Tell Me","5PBGKdQ2fnMw1zlMP7XtVM",44,0.336,0.61,218656,0.583,1.8e-05,"C",0.0776,-6.461,"Minor",0.0374,103.987,"3/4",0.593
"49","Alternative","Death Grips","Death Grips Is Online","4EHv5m2D0zDYYAu4xZoYwm",46,0.00388,0.522,211662,0.962,0.0528,"F#",0.406,-4.814,"Major",0.0765,146.392,"4/4",0.415
"50","Alternative","Disturbed","This Moment","6wJqtdE4wC9TXOLgCNBVde",48,0.000509,0.497,185733,0.96,0.0151,"C#",0.151,-3.532,"Major",0.125,171.835,"4/4",0.669
"51","Alternative","Zacari","Heaven Sent (feat. J-Louis)","5YwuJotHN5IwK5Brb25nwe",45,0.157,0.791,264202,0.614,0.567,"G",0.624,-8.428,"Minor",0.0639,118.992,"4/4",0.308
"52","Alternative","Saba","CALLIGRAPHY","7LBdv0ek7Tj2s0bgxmlrC6",56,0.732,0.643,184250,0.532,0.00109,"F#",0.111,-9.712,"Major",0.374,73.902,"4/4",0.299
"53","Alternative","As I Lay Dying","A Greater Foundation","1x1NTUH1QUJEiBnkAMy0Mq",46,0.000585,0.522,226213,0.992,0.00093,"D#",0.665,-3.234,"Minor",0.114,124.983,"4/4",0.365
"54","Alternative","Skillet","Believe","5fMBJc08fsIeaOsGIxhLT8",45,0.0217,0.47,230520,0.836,0,"A",0.331,-4.348,"Minor",0.0349,135.955,"4/4",0.412
"55","Alternative","Kid Rock","Born Free","0nzsQbMirivcvRc6rNfXSp",52,0.00637,0.592,264533,0.917,1.3e-06,"A",0.112,-1.278,"Major",0.0275,127.439,"4/4",0.682
