"","continent","meanExpect_2018","meanGDP_2018","varexp_2018","varGDP_2018","cor_exp_gdp_2018"
"1","Africa",64.9745098039216,3967.8,31.343137254902,20411364.8163265,0.49347922041294
"2","Americas",76.7083333333333,13358.6956521739,13.5816666666667,119295920.948617,0.522536443218576
"3","Asia",74.4518518518519,14492.6923076923,33.8564387464388,212595380.461538,0.750333027077965
"4","Europe",80.11,26421.6666666667,6.34437931034482,132226124.712644,0.791173182491845
"5","Oceania",82.35,34100,0.605000000000009,76880000,1
